id,type,domain,enabled,date_added,date_modified,comment
1,0,xmrig.com,1,1650911770,1650911770,
2,1,b-api.facebook.com,1,1669822311,1669822311,"Facebook ads"
4,2,(\.|^)disneyplus\.com$,1,1669947526,1669947526,
5,2,(\.|^)bamgrid\.com$,1,1669947544,1669947544,
6,2,(\.|^)bam\.nr-data\.net$,1,1669947562,1669947562,
7,2,(\.|^)cdn\.registerdisney\.go\.com$,1,1669947576,1669947576,
9,2,(\.|^)cws\.conviva\.com$,1,1669947599,1669947599,
10,2,(\.|^)d9\.flashtalking\.com$,1,1669947628,1669947628,
11,2,(\.|^)disney-portal\.my\.onetrust\.com$,1,1669947645,1669947645,
12,2,(\.|^)disneyplus\.bn5x\.net$,1,1669947659,1669947659,
13,2,(\.|^)js-agent\.newrelic\.com$,1,1669947688,1669947688,
14,2,(\.|^)disney-plus\.net$,1,1669947701,1669947701,
15,2,(\.|^)dssott\.com$,1,1669947873,1669947873,
16,2,(\.|^)adobedtm\.com$,1,1669947892,1669947892,
17,2,(\.|^)bamtech\.sc\.omtrdc\.net$,1,1669948169,1669948169,
18,0,device-metrics-us-2.amazon.com,1,1670648163,1670648163,"Added from Query Log"
19,0,ssl.google-analytics.com,1,1670648252,1670648252,"Added from Query Log"
52,0,logging.dhg.myharmony.com,1,1671221336,1671221336,"Added from Query Log"
54,0,cws-hulu.conviva.com,1,1671258833,1671258833,"Added from Query Log"
